GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 3158
Time period: 2025-09-16 10:26:15 to 2025-09-16 10:32:19

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
10:28:39 |  101.6/ +0.8 |  106.5/ +5.8 |   -4.9/ -5.0 | -10/ +6
10:28:40 |  100.5/ -1.2 |  104.3/ +3.9 |   -3.8/ -5.1 |  -6/ +7
10:28:41 |   99.3/ -3.6 |  102.8/ +1.2 |   -3.5/ -4.8 |  -4/ +5
10:28:42 |   99.0/ -5.4 |  102.4/ -0.7 |   -3.4/ -4.7 |  -4/ +5
10:28:43 |   98.4/ -7.8 |  101.7/ -2.9 |   -3.3/ -4.9 |  -3/ +5
10:28:44 |   99.0/ -9.8 |  101.8/ -5.6 |   -2.8/ -4.2 |  -2/ +3
10:28:45 |   99.2/-12.0 |  101.8/ -6.9 |   -2.6/ -5.1 |  -3/ +7
10:28:46 |   99.5/-13.8 |  101.9/ -8.6 |   -2.4/ -5.2 |  -2/ +7
10:28:47 |   99.3/-16.2 |  102.0/-11.4 |   -2.7/ -4.8 |  -2/ +5
10:28:48 |   99.7/-17.9 |  102.1/-12.9 |   -2.4/ -5.0 |  -2/ +6
10:28:49 |   99.9/-19.6 |  102.1/-14.5 |   -2.2/ -5.1 |  -2/ +7
10:28:50 |  100.1/-21.4 |  102.2/-16.6 |   -2.1/ -4.8 |  -1/ +5
10:28:51 |   99.7/-23.4 |  102.2/-18.7 |   -2.5/ -4.7 |  -1/ +5
10:28:52 |   99.6/-25.0 |  102.3/-20.2 |   -2.7/ -4.8 |  -2/ +5
10:28:53 |   99.6/-26.7 |  102.2/-20.9 |   -2.6/ -5.8 |  -2/ +9
10:28:54 |   99.5/-28.4 |  102.2/-20.9 |   -2.7/ -7.5 |  -3/+15
10:28:58 |   99.2/-35.5 |   94.2/-24.3 |   +5.0/-11.2 | +11/+24
10:28:59 |   99.4/-36.7 |   97.0/-37.4 |   +2.4/ +0.7 |  +1/ +1
10:29:00 |   99.2/-38.2 |   97.0/-37.4 |   +2.2/ -0.8 |  +1/ -1
10:29:01 |   47.2/ -1.1 |   90.8/-32.2 |  -43.6/+31.1 | -96/-69
10:29:02 |   44.3/ -1.1 |   39.8/ +3.6 |   +4.5/ -4.7 |  +7/ +5
10:29:03 |   40.8/ -1.2 |   41.6/ +2.6 |   -0.8/ -3.8 |  -1/ +2
10:29:04 |   31.1/ -1.2 |   41.6/ +2.6 |  -10.5/ -3.8 | -23/ +4
10:29:05 |   19.6/ -1.3 |   27.6/ +2.6 |   -8.0/ -3.9 | -14/ +4
10:29:06 |   12.4/ -1.3 |   17.3/ +2.6 |   -4.9/ -3.9 |  -9/ +3
10:29:07 |    6.6/ -1.4 |   12.3/ +2.6 |   -5.7/ -4.0 |  -7/ +4
10:29:08 |    5.1/ -1.4 |    8.2/ +2.6 |   -3.1/ -4.0 |  -3/ +3
10:29:09 |   14.4/ -1.5 |    7.7/ +2.6 |   +6.7/ -4.1 | +10/ +4
10:29:10 |   13.9/ -1.5 |   10.4/ +2.6 |   +3.5/ -4.1 |  +4/ +3
10:29:11 |   14.9/ -1.6 |   10.6/ +2.6 |   +4.3/ -4.2 |  +6/ +3
10:29:12 |   10.0/ -1.6 |   11.4/ +2.6 |   -1.4/ -4.2 |  -1/ +3
10:29:13 |  358.3/ -1.7 |    4.3/ +2.3 |   -6.0/ -4.0 |  -8/ +4
10:29:14 |  357.3/ -1.7 |    0.7/ +2.2 |   -3.4/ -3.9 |  -3/ +3
10:29:15 |  355.4/ -1.7 |    0.4/ +2.2 |   -5.0/ -3.9 |  -5/ +4
10:29:16 |  352.6/ -1.8 |  356.4/ +2.2 |   -3.8/ -4.0 |  -4/ +3
10:29:17 |  353.1/ -1.8 |  356.2/ +2.2 |   -3.1/ -4.0 |  -3/ +3
10:29:18 |  356.1/ -1.8 |  356.3/ +2.2 |   -0.2/ -4.0 |  +0/ +3
10:29:19 |  357.1/ -1.8 |  356.4/ +2.2 |   +0.7/ -4.0 |  +1/ +3
10:29:20 |  356.6/ -1.8 |  356.4/ +2.2 |   +0.2/ -4.0 |  +0/ +3
10:29:21 |  356.0/ -1.7 |  356.4/ +2.2 |   -0.4/ -3.9 |  +0/ +3
10:29:22 |  356.3/ -1.7 |  356.6/ +2.2 |   -0.3/ -3.9 |  +0/ +3
10:29:23 |  356.7/ -1.7 |  356.5/ +2.2 |   +0.2/ -3.9 |  +0/ +3
10:29:24 |  357.3/ -1.7 |  356.5/ +2.2 |   +0.8/ -3.9 |  +1/ +3
10:29:27 |  357.7/ -1.6 |  356.8/ +2.2 |   +0.9/ -3.8 |  +1/ +3
10:29:28 |  357.9/ -1.6 |  357.0/ +2.2 |   +0.9/ -3.8 |  +1/ +3
10:29:29 |  358.0/ -1.6 |  357.0/ +2.2 |   +1.0/ -3.8 |  +1/ +2
10:29:30 |  358.1/ -1.6 |  357.1/ +2.2 |   +1.0/ -3.8 |  +1/ +2
10:29:31 |  358.1/ -1.6 |  357.1/ +2.2 |   +1.0/ -3.8 |  +1/ +2
10:29:32 |  358.1/ -1.5 |  357.1/ +2.2 |   +1.0/ -3.7 |  +1/ +2
10:29:33 |  358.2/ -1.5 |  357.1/ +2.2 |   +1.1/ -3.7 |  +1/ +2
10:29:34 |  358.2/ -1.5 |  357.2/ +2.2 |   +1.0/ -3.7 |  +1/ +2
10:29:35 |  358.3/ -1.5 |  357.2/ +2.2 |   +1.1/ -3.7 |  +1/ +2
10:29:36 |  358.4/ -1.4 |  357.4/ +2.2 |   +1.0/ -3.6 |  +1/ +2
10:29:37 |  358.4/ -1.4 |  357.3/ +2.2 |   +1.1/ -3.6 |  +1/ +2
10:29:38 |  358.4/ -1.4 |  357.6/ +2.2 |   +0.8/ -3.6 |  +1/ +2
10:29:39 |  358.3/ -1.4 |  357.5/ +2.2 |   +0.8/ -3.6 |  +1/ +2
10:29:40 |  358.1/ -1.4 |  357.6/ +2.2 |   +0.5/ -3.6 |  +1/ +2
10:29:41 |  357.6/ -1.4 |  357.7/ +2.2 |   -0.1/ -3.6 |  +0/ +2
10:29:42 |  357.2/ -1.4 |  357.8/ +2.2 |   -0.6/ -3.6 |  -1/ +2
10:29:43 |  356.9/ -1.4 |  357.8/ +2.2 |   -0.9/ -3.6 |  -1/ +2
10:29:44 |  356.6/ -1.4 |  357.9/ +2.2 |   -1.3/ -3.6 |  -1/ +2
10:29:45 |  356.4/ -1.4 |  357.9/ +2.2 |   -1.5/ -3.6 |  -1/ +2
10:29:46 |  356.2/ -1.4 |  358.0/ +2.2 |   -1.8/ -3.6 |  -2/ +2
10:29:47 |  355.9/ -1.4 |  358.0/ +2.2 |   -2.1/ -3.6 |  -1/ +2
10:29:49 |  355.5/ -1.4 |  358.1/ +2.2 |   -2.6/ -3.6 |  -2/ +2
10:29:50 |  355.2/ -1.4 |  358.3/ +2.2 |   -3.1/ -3.6 |  -2/ +2
10:29:51 |  355.0/ -1.4 |  358.3/ +2.2 |   -3.3/ -3.6 |  -2/ +2
10:29:52 |  354.9/ -1.4 |  358.4/ +2.2 |   -3.5/ -3.6 |  -3/ +2
10:29:53 |  354.7/ -1.4 |  358.5/ +2.2 |   -3.8/ -3.6 |  -4/ +2
10:29:58 |  354.2/ -1.4 |  358.7/ +2.2 |   -4.5/ -3.6 |  -6/ +2
10:29:59 |  354.1/ -1.4 |  357.8/ +2.2 |   -3.7/ -3.6 |  -4/ +2
10:30:00 |  353.9/ -1.4 |  357.7/ +2.2 |   -3.8/ -3.6 |  -4/ +2
10:30:01 |  353.8/ -1.4 |  357.6/ +2.2 |   -3.8/ -3.6 |  -4/ +2
10:30:02 |  353.7/ -1.4 |  357.5/ +2.2 |   -3.8/ -3.6 |  -4/ +2
10:30:03 |  353.6/ -1.4 |  357.3/ +2.2 |   -3.7/ -3.6 |  -4/ +2
10:30:04 |  353.5/ -1.4 |  357.2/ +2.2 |   -3.7/ -3.6 |  -4/ +2
10:30:05 |  353.4/ -1.4 |  357.3/ +2.2 |   -3.9/ -3.6 |  -4/ +2
10:30:06 |  353.4/ -1.4 |  357.1/ +2.2 |   -3.7/ -3.6 |  -4/ +2
10:30:07 |  353.3/ -1.5 |  357.2/ +2.2 |   -3.9/ -3.7 |  -4/ +2
10:30:08 |  353.3/ -1.5 |  356.7/ +2.2 |   -3.4/ -3.7 |  -3/ +2
10:30:09 |  353.3/ -1.5 |  356.8/ +2.2 |   -3.5/ -3.7 |  -3/ +2
10:30:10 |  353.3/ -1.5 |  356.9/ +2.2 |   -3.6/ -3.7 |  -3/ +2
10:30:11 |  353.3/ -1.5 |  356.9/ +2.2 |   -3.6/ -3.7 |  -3/ +2
10:30:12 |  353.4/ -1.5 |  357.1/ +2.2 |   -3.7/ -3.7 |  -4/ +2
10:30:13 |  353.4/ -1.5 |  357.0/ +2.2 |   -3.6/ -3.7 |  -3/ +2
10:30:14 |  353.5/ -1.5 |  357.1/ +2.2 |   -3.6/ -3.7 |  -3/ +2
10:30:15 |  353.5/ -1.5 |  357.2/ +2.2 |   -3.7/ -3.7 |  -4/ +2
10:30:16 |  353.6/ -1.5 |  357.3/ +2.2 |   -3.7/ -3.7 |  -4/ +2
10:30:17 |  353.6/ -1.5 |  357.2/ +2.2 |   -3.6/ -3.7 |  -3/ +2
10:30:18 |  353.6/ -1.5 |  357.3/ +2.2 |   -3.7/ -3.7 |  -4/ +2
10:30:19 |  353.6/ -1.5 |  357.4/ +2.2 |   -3.8/ -3.7 |  -4/ +2
10:30:20 |  353.6/ -1.5 |  357.5/ +2.2 |   -3.9/ -3.7 |  -4/ +2
10:30:21 |  353.7/ -1.5 |  357.5/ +2.2 |   -3.8/ -3.7 |  -4/ +2
10:30:22 |  353.7/ -1.5 |  357.5/ +2.2 |   -3.8/ -3.7 |  -4/ +2
10:30:23 |  353.7/ -1.6 |  357.6/ +2.2 |   -3.9/ -3.8 |  -4/ +2
10:30:24 |  353.8/ -1.6 |  357.5/ +2.2 |   -3.7/ -3.8 |  -4/ +2
10:30:25 |  353.8/ -1.6 |  357.8/ +2.2 |   -4.0/ -3.8 |  -5/ +2
10:30:26 |  353.8/ -1.6 |  357.6/ +2.2 |   -3.8/ -3.8 |  -4/ +2
10:30:27 |  353.9/ -1.6 |  357.6/ +2.2 |   -3.7/ -3.8 |  -4/ +2
10:30:28 |  353.9/ -1.6 |  357.5/ +2.2 |   -3.6/ -3.8 |  -3/ +2
10:30:29 |  353.8/ -1.6 |  357.5/ +2.2 |   -3.7/ -3.8 |  -3/ +2
10:30:31 |  353.8/ -1.6 |  357.9/ +2.2 |   -4.1/ -3.8 |  -5/ +3
10:30:32 |  353.9/ -1.6 |  357.9/ +2.2 |   -4.0/ -3.8 |  -5/ +3
10:30:36 |  354.0/ -1.6 |  358.3/ +2.2 |   -4.3/ -3.8 |  -6/ +3
10:30:37 |  354.0/ -1.7 |  357.3/ +2.2 |   -3.3/ -3.9 |  -3/ +3
10:30:38 |  354.1/ -1.7 |  357.3/ +2.2 |   -3.2/ -3.9 |  -3/ +3
10:30:47 |  354.1/ -1.7 |  357.9/ +2.2 |   -3.8/ -3.9 |  -4/ +3
10:30:48 |  354.1/ -1.7 |  357.9/ +2.2 |   -3.8/ -3.9 |  -4/ +3
10:30:49 |  354.2/ -1.8 |  357.9/ +2.2 |   -3.7/ -4.0 |  -4/ +3
10:30:50 |  354.2/ -1.8 |  357.9/ +2.2 |   -3.7/ -4.0 |  -3/ +3
10:30:51 |  354.3/ -1.8 |  358.0/ +2.2 |   -3.7/ -4.0 |  -4/ +3
10:30:52 |  354.3/ -1.8 |  358.1/ +2.2 |   -3.8/ -4.0 |  -4/ +3
10:30:53 |  354.4/ -1.8 |  358.1/ +2.2 |   -3.7/ -4.0 |  -4/ +3
10:30:54 |  354.4/ -1.8 |  358.2/ +2.2 |   -3.8/ -4.0 |  -4/ +3
