GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 2300
Time period: 2025-09-08 15:34:54 to 2025-09-08 16:31:00

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
15:38:45 |   81.7/-51.4 |   79.6/-47.8 |   +2.1/ -3.6 |  +2/ -2
15:38:47 |   81.9/-51.4 |   79.5/-47.8 |   +2.4/ -3.6 |  +2/ -2
15:38:49 |   82.0/-51.4 |   79.5/-47.8 |   +2.5/ -3.6 |  +2/ -2
15:38:51 |   82.2/-51.4 |   79.2/-47.8 |   +3.0/ -3.6 |  +2/ -2
15:38:53 |   82.2/-51.4 |   79.1/-47.8 |   +3.1/ -3.6 |  +2/ -2
15:38:55 |   82.4/-51.4 |   79.1/-47.8 |   +3.3/ -3.6 |  +2/ -2
15:38:57 |   82.6/-51.4 |   79.0/-47.8 |   +3.6/ -3.6 |  +2/ -2
15:38:59 |   82.9/-51.4 |   78.8/-47.8 |   +4.1/ -3.6 |  +2/ -2
15:39:01 |   83.0/-51.4 |   78.7/-47.8 |   +4.3/ -3.6 |  +1/ -2
15:39:03 |   83.2/-51.4 |   78.6/-47.8 |   +4.6/ -3.6 |  +1/ -2
15:39:05 |   83.3/-51.4 |   78.3/-47.8 |   +5.0/ -3.6 |  +1/ -2
15:39:07 |   83.4/-51.4 |   78.4/-47.8 |   +5.0/ -3.6 |  +1/ -2
15:39:09 |   83.6/-51.4 |   78.2/-47.8 |   +5.4/ -3.6 |  +2/ -2
15:39:11 |   83.9/-51.4 |   78.2/-47.8 |   +5.7/ -3.6 |  +2/ -2
15:39:13 |   84.1/-51.4 |   78.1/-47.8 |   +6.0/ -3.6 |  +2/ -2
15:39:15 |   84.3/-51.4 |   77.8/-47.8 |   +6.5/ -3.6 |  +3/ -2
15:39:17 |   84.4/-51.4 |   77.7/-47.8 |   +6.7/ -3.6 |  +4/ -2
15:39:19 |   84.6/-51.4 |   77.6/-47.8 |   +7.0/ -3.6 |  +4/ -2
15:39:21 |   84.8/-51.4 |   77.6/-47.8 |   +7.2/ -3.6 |  +4/ -2
15:39:23 |   84.9/-51.4 |   77.4/-47.8 |   +7.5/ -3.6 |  +4/ -2
15:39:25 |   85.1/-51.4 |   77.3/-47.8 |   +7.8/ -3.6 |  +4/ -2
15:39:28 |   85.3/-51.4 |   77.6/-47.8 |   +7.7/ -3.6 |  +4/ -2
15:39:30 |   85.4/-51.4 |   77.6/-47.8 |   +7.8/ -3.6 |  +4/ -2
15:39:32 |   85.5/-51.4 |   77.8/-47.8 |   +7.7/ -3.6 |  +4/ -2
15:39:34 |   85.5/-51.4 |   77.7/-47.8 |   +7.8/ -3.6 |  +4/ -2
15:39:36 |   85.6/-51.4 |   77.8/-47.8 |   +7.8/ -3.6 |  +4/ -2
15:39:38 |   85.7/-51.4 |   78.2/-47.8 |   +7.5/ -3.6 |  +4/ -2
15:39:40 |   86.0/-51.4 |   78.2/-47.8 |   +7.8/ -3.6 |  +4/ -2
15:39:42 |   86.1/-51.4 |   78.5/-47.8 |   +7.6/ -3.6 |  +4/ -2
15:39:44 |   86.1/-51.4 |   78.4/-47.8 |   +7.7/ -3.6 |  +4/ -2
16:28:07 |  229.4/+14.4 |  306.8/ +4.7 |  -77.4/ +9.7 | -68/ -8
16:28:09 |  245.2/+14.9 |  238.3/ +8.0 |   +6.9/ +6.9 |  +4/ -4
16:28:11 |  302.6/+14.3 |  270.1/ +8.0 |  +32.5/ +6.3 | +28/ -3
16:28:13 |  346.4/+14.1 |  331.1/ +8.0 |  +15.3/ +6.1 | +13/ -3
16:28:15 |  357.9/+14.1 |  349.6/ +8.0 |   +8.3/ +6.1 |  +5/ -3
16:28:17 |    0.9/+14.6 |  352.8/ +8.0 |   +8.1/ +6.6 |  +5/ -3
16:28:19 |    1.3/+15.2 |  353.6/ +8.0 |   +7.7/ +7.2 |  +4/ -4
16:28:21 |    1.4/+15.9 |  353.6/ +8.0 |   +7.8/ +7.9 |  +4/ -4
16:28:23 |    4.3/+16.5 |  355.7/ +8.6 |   +8.6/ +7.9 |  +6/ -4
16:28:25 |   14.5/+17.2 |    4.3/ +9.2 |  +10.2/ +8.0 |  +8/ -5
16:28:27 |   32.9/+17.8 |   19.6/ +9.9 |  +13.3/ +7.9 | +11/ -4
16:28:29 |   54.6/+18.3 |   41.1/+10.7 |  +13.5/ +7.6 | +12/ -4
16:28:31 |   75.4/+18.7 |   62.4/+10.7 |  +13.0/ +8.0 | +11/ -5
16:28:33 |   87.5/+18.8 |   77.6/+11.3 |   +9.9/ +7.5 |  +8/ -4
16:28:35 |   91.7/+18.8 |   83.4/+11.3 |   +8.3/ +7.5 |  +5/ -4
16:28:37 |   92.2/+18.8 |   84.6/+11.3 |   +7.6/ +7.5 |  +4/ -4
16:28:39 |   91.8/+18.8 |   84.4/+11.3 |   +7.4/ +7.5 |  +4/ -4
16:28:41 |   91.7/+18.8 |   84.3/+11.3 |   +7.4/ +7.5 |  +4/ -4
16:28:43 |   91.7/+18.8 |   84.2/+11.3 |   +7.5/ +7.5 |  +4/ -4
16:28:45 |   92.3/+18.8 |   84.7/+11.3 |   +7.6/ +7.5 |  +4/ -4
16:28:47 |   92.9/+18.8 |   85.2/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:28:49 |   93.3/+18.8 |   85.5/+11.3 |   +7.8/ +7.5 |  +4/ -4
16:28:51 |   93.7/+18.8 |   85.7/+11.3 |   +8.0/ +7.5 |  +5/ -4
16:28:53 |   94.0/+18.8 |   86.3/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:28:55 |   94.4/+18.8 |   86.8/+11.3 |   +7.6/ +7.5 |  +4/ -4
16:28:57 |   94.8/+18.8 |   87.1/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:28:59 |   95.1/+18.8 |   87.2/+11.3 |   +7.9/ +7.5 |  +4/ -4
16:29:01 |   95.4/+18.8 |   87.7/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:29:03 |   95.8/+18.8 |   88.2/+11.3 |   +7.6/ +7.5 |  +4/ -4
16:29:06 |   96.2/+18.8 |   88.5/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:29:08 |   96.7/+18.8 |   89.2/+11.3 |   +7.5/ +7.5 |  +4/ -4
16:29:10 |   97.0/+18.8 |   89.2/+11.3 |   +7.8/ +7.5 |  +4/ -4
16:29:12 |   97.5/+18.8 |   89.7/+11.3 |   +7.8/ +7.5 |  +4/ -4
16:29:14 |   97.6/+18.8 |   90.2/+11.3 |   +7.4/ +7.5 |  +4/ -4
16:29:16 |   97.9/+18.8 |   90.2/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:29:18 |   98.3/+18.8 |   90.7/+11.3 |   +7.6/ +7.5 |  +4/ -4
16:29:20 |   98.6/+18.8 |   90.8/+11.3 |   +7.8/ +7.5 |  +4/ -4
16:29:22 |   98.9/+18.8 |   91.2/+11.3 |   +7.7/ +7.5 |  +4/ -4
16:29:24 |  143.4/ +2.9 |  141.0/+10.4 |   +2.4/ -7.5 |  +2/ +4
16:29:26 |   61.7/ +2.9 |  113.5/+10.4 |  -51.8/ -7.5 | -45/ +4
16:29:28 |   10.4/ +2.9 |   28.4/+10.4 |  -18.0/ -7.5 | -16/ +4
16:29:30 |  359.1/ +2.9 |    7.9/+10.4 |   -8.8/ -7.5 |  -6/ +4
16:29:32 |  356.3/ +3.0 |    4.1/+10.4 |   -7.8/ -7.4 |  -4/ +4
16:29:34 |  355.9/ +3.0 |    3.8/+10.4 |   -7.9/ -7.4 |  -4/ +4
16:29:36 |  356.3/ +3.0 |    3.3/+10.4 |   -7.0/ -7.4 |  -4/ +4
16:29:38 |  356.6/ +3.0 |  298.3/+10.4 |  +58.3/ -7.4 | +51/ +4
16:29:40 |  356.8/ +3.1 |  323.8/+10.4 |  +33.0/ -7.3 | +28/ +4
16:29:42 |  356.6/ +3.1 |  354.4/+10.4 |   +2.2/ -7.3 |  +2/ +4
16:29:44 |  356.4/ +3.1 |  354.3/+10.4 |   +2.1/ -7.3 |  +2/ +4
16:29:46 |  356.2/ +3.1 |  354.2/+10.4 |   +2.0/ -7.3 |  +2/ +4
16:29:48 |  356.0/ +3.2 |  354.1/+10.4 |   +1.9/ -7.2 |  +2/ +4
16:29:50 |  355.8/ +3.2 |  354.2/+10.4 |   +1.6/ -7.2 |  +2/ +4
16:29:52 |  355.7/ +3.2 |  354.0/+10.4 |   +1.7/ -7.2 |  +2/ +4
16:29:54 |  355.5/ +3.3 |  354.0/+10.4 |   +1.5/ -7.1 |  +2/ +4
16:29:56 |  355.3/ +3.3 |  354.0/+10.4 |   +1.3/ -7.1 |  +2/ +4
16:29:58 |  355.1/ +3.3 |  353.8/+10.4 |   +1.3/ -7.1 |  +2/ +4
16:30:00 |  355.0/ +3.4 |  353.9/+10.4 |   +1.1/ -7.0 |  +2/ +4
16:30:02 |  354.8/ +3.4 |  353.7/+10.4 |   +1.1/ -7.0 |  +2/ +4
16:30:04 |  354.7/ +3.4 |  353.7/+10.4 |   +1.0/ -7.0 |  +0/ +4
16:30:06 |  347.8/ +3.4 |  353.5/+10.4 |   -5.7/ -7.0 |  -2/ +4
16:30:08 |  348.1/ +3.5 |  353.5/+10.4 |   -5.4/ -6.9 |  -2/ +4
16:30:10 |  353.1/ +3.5 |  353.5/+10.4 |   -0.4/ -6.9 |  +0/ +4
16:30:12 |  205.0/ +5.0 |  353.4/+10.4 | -148.4/ -5.4 | -80/ +2
16:30:14 |  205.8/ +4.9 |  211.2/+10.4 |   -5.4/ -5.5 |  -2/ +2
16:30:16 |  285.0/ +4.9 |  252.7/+10.4 |  +32.3/ -5.5 | +28/ +2
16:30:18 |  344.5/ +5.0 |  325.1/+10.4 |  +19.4/ -5.4 | +16/ +2
16:30:20 |    0.1/ +5.0 |  351.2/+10.4 |   +8.9/ -5.4 |  +6/ +2
16:30:22 |    3.7/ +5.1 |  356.4/+10.4 |   +7.3/ -5.3 |  +4/ +2
16:30:24 |    4.1/ +5.2 |  356.3/+10.4 |   +7.8/ -5.2 |  +4/ +1
16:30:26 |    3.6/ +5.3 |  356.2/+10.4 |   +7.4/ -5.1 |  +4/ +1
16:30:28 |    3.0/ +5.4 |  356.3/+10.4 |   +6.7/ -5.0 |  +3/ +1
16:30:30 |    2.5/ +5.5 |  356.1/+10.4 |   +6.4/ -4.9 |  +3/ +1
16:30:32 |    2.3/ +5.6 |  356.1/+10.4 |   +6.2/ -4.8 |  +3/ +1
16:30:34 |    2.7/ +5.7 |  355.8/+10.4 |   +6.9/ -4.7 |  +4/ +1
16:30:36 |    3.0/ +5.8 |  355.9/+10.4 |   +7.1/ -4.6 |  +4/ +1
16:30:38 |    3.6/ +5.9 |  355.9/+10.4 |   +7.7/ -4.5 |  +4/ +1
16:30:40 |    4.3/ +6.0 |  356.3/+10.4 |   +8.0/ -4.4 |  +5/ +1
16:30:42 |    5.0/ +6.1 |  357.1/+10.4 |   +7.9/ -4.3 |  +4/ +1
16:30:44 |    5.8/ +6.2 |  357.9/+10.4 |   +7.9/ -4.2 |  +4/ -2
16:30:46 |    6.5/ +6.3 |  358.6/+10.4 |   +7.9/ -4.1 |  +4/ -2
16:30:48 |    7.4/ +6.5 |  359.6/+10.4 |   +7.8/ -3.9 |  +4/ -2
16:30:50 |    8.2/ +6.6 |    0.5/+10.4 |   +7.7/ -3.8 |  +4/ -2
16:30:52 |    8.8/ +6.7 |    1.3/+10.4 |   +7.5/ -3.7 |  +4/ -2
16:30:54 |    9.6/ +6.9 |    2.1/+10.4 |   +7.5/ -3.5 |  +4/ -2
16:30:56 |   10.4/ +7.0 |    2.6/+10.4 |   +7.8/ -3.4 |  +4/ -2
16:30:58 |   11.1/ +7.2 |    3.2/+10.4 |   +7.9/ -3.2 |  +4/ -2

Recoveries: 0
Warnings: 93
